"PRESTATAIRE","TYPE","ZONE_GEO","LIGNES","VISITES","PATIENTS","DEPENSES_TOTALES","FRAIS_REELS","REJETS_TOTAL","COUT_MOYEN_VISITE","COUT_MOYEN_PATIENT","TAUX_REJET","FREQUENCE_BRUTE","PART_CHRONIQUES","MEDIANE_COUT_VISITE","MEDIANE_FREQUENCE","MEDIANE_REJET","INDICE_COUT","INDICE_FREQUENCE","INDICE_REJET","PROFIL_RISQUE","INDICE_COUT_AJUSTE","INDICE_FREQ_AJUSTE","LIFT_RADIO","LIFT_LABO","LIFT_MULTI","FLAG_DEMANDE_INDUITE","SCORE_COUT","SCORE_FREQ","SCORE_ACTES","SCORE_REJET","SCORE_ANOMALIE_BRUT","SCORE_ANOMALIE","VOL_PERCENTILE","SCORE_ECONOMIE","SCORE_SAIN","SCORE_RESEAU_BRUT","SCORE_RESEAU","DECISION"
"HOPITAL GENERAL YOPOUGON ATTIE","Hopital","ABIDJAN",1,1,1,70000,70000,0,70000,70000,0,1,0,15500,1,0,1.63448205702001,0.0815903054448871,0,"Coût Élevé",1.63448205702001,0.0815903054448871,1,1,1,0,0.817241028510007,0.0407951527224436,0.333333333333333,0,0.357410854369735,35.7410854369735,0.333151878062058,0.182758971489993,0.642589145630265,0.396769622460515,39.6769622460515,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENRAL D'ANYAMA","Hopital","ABIDJAN",2,2,2,5000,5000,0,2500,2500,0,1,0,15500,1,0,0.0583743591792862,0.0815903054448871,0,"Économique",0.0583743591792862,0.0815903054448871,1,1,1,0,0.0291871795896431,0.0407951527224436,0.333333333333333,0,0.120994699693626,12.0994699693626,0.0255851932498639,0.970812820410357,0.879005300306374,0.745044286936665,74.5044286936665,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL MERE-ENFANT","Hopital","ABIDJAN",801,598,308,31092631.5714286,26827066,4265565.57142857,51994.367176302,100950.102504638,0.159002313985009,1.94155844155844,0.0224719101123595,15500,1,0,1.2023543309794,0.15766543110414,0,"Standard",1.2023543309794,0.15766543110414,1,1,1,0,0.601177165489701,0.0788327155520698,0.333333333333333,0,0.304002964312531,30.4002964312531,0.995645073489385,0.398822834510299,0.695997035687469,0.637056962776984,63.7056962776984,"CONSERVER"
"HOPITAL PRIVE CONFESSIONNEL SAINTE MARIE (EX DISPENSAIRE SM)","Hopital","HORS-ABIDJAN",9,7,3,1e+05,88500,11500,14285.7142857143,33333.3333333333,0.129943502824859,2.33333333333333,0,15500,1,0,0.333567766738778,0.190377379371403,0,"Économique",0.333567766738778,0.190377379371403,1,1,1,0,0.166783883369389,0.0951886896857016,0.333333333333333,0,0.178591771916527,17.8591771916527,0.374523679912901,0.833216116630611,0.821408228083473,0.736754473868214,73.6754473868214,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL PROTESTANT METHODISTE","Hopital","HORS-ABIDJAN",14,10,7,385220,353800,31420,38522,55031.4285714286,0.0888072357263991,1.42857142857143,0,15500,1,0,0.899478825721785,0.116557579206982,0,"Économique",0.899478825721785,0.116557579206982,1,1,1,0,0.449739412860893,0.0582787896034908,0.333333333333333,0,0.252405460739315,25.2405460739315,0.586826347305389,0.550260587139107,0.747594539260685,0.636507320020995,63.6507320020995,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL SAINT JEAN-BAPTISTE DE BODO","Hopital","HORS-ABIDJAN",14,12,10,616650,616650,0,51387.5,61665,0,1.2,0,15500,1,0,1.19988495293023,0.0979083665338645,0,"Standard",1.19988495293023,0.0979083665338645,1,1,1,0,0.599942476465114,0.0489541832669323,0.333333333333333,0,0.294668997919614,29.4668997919614,0.667936853565596,0.400057523534886,0.705331002080386,0.575742780959228,57.5742780959228,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL SPECIALISE PRIVE CONFESSIONNEL DES SOEURS DOROTHEE D'ALEPE","Hopital","HORS-ABIDJAN",1,1,1,15000,15000,0,15000,15000,0,1,0,15500,1,0,0.350246155075717,0.0815903054448871,0,"Économique",0.350246155075717,0.0815903054448871,1,1,1,0,0.175123077537859,0.0407951527224436,0.333333333333333,0,0.164775469078091,16.4775469078091,0.119760479041916,0.824876922462141,0.835224530921909,0.687992677162004,68.7992677162003,"SURVEILLER (FAIBLE VOLUME)"
"HOTEL DE LA SANTE SAINTE HENRIETTE","Centre Medical","ABIDJAN",634,401,201,24866800.3333333,22773750,2093050.33333333,62011.9709060682,123715.424543947,0.0919062663519769,1.99502487562189,0.0157728706624606,33841.4752475248,1.23636363636364,0.0589823610679747,1.43992637685201,0.16210226914765,1.55819917493738,"Coût Élevé",1.43992637685201,0.16210226914765,1,1.95649263721553,1,0,0.719963188426003,0.0810511345738248,0.652164212405176,0.779099587468691,0.51386351936837,51.386351936837,0.993467610234077,0.280036811573997,0.48613648063163,0.505162838929066,50.5162838929066,"RENÉGOCIER"
"HOTEL MEDICAL MARIA","Centre Medical","ABIDJAN",83,67,51,3089225,2889656,199569,46107.8358208955,60573.0392156863,0.0690632379771156,1.31372549019608,0,33841.4752475248,1.23636363636364,0.0589823610679747,1.07660614767541,0.107187264015832,1.17091341761519,"Standard",1.07660614767541,0.107187264015832,1,1,1,0,0.538303073837703,0.053593632007916,0.333333333333333,0.585456708807597,0.336114682634445,33.6114682634445,0.903102885138813,0.461696926162297,0.663885317365555,0.630853474438903,63.0853474438903,"CONSERVER"
"HOTEL MEDICAL MUTUALISTE SAINT NICOLAS","Centre Medical","ABIDJAN",4,2,2,250025,187900,62125,125012.5,125012.5,0.330627993613624,1,0,33841.4752475248,1.23636363636364,0.0589823610679747,2.91900983076021,0.0815903054448871,5.60554015856689,"Coût Élevé",2.91900983076021,0.0815903054448871,1,6.16666666666667,1,0,1,0.0407951527224436,1,1,0.712238545816733,71.2238545816733,0.512792596624932,0,0.287761454183267,0.217663100998293,21.7663100998293,"SURVEILLER (FAIBLE VOLUME)"
